Unix_Timestamp,time,mag,mag_err
1657078897.4900947,2766.65390613556,6.785692612763409,0.00013484636553152127
1657079497.5003586,2766.6608506987204,6.789571254899974,0.0001350848898445607
1657080097.5106225,2766.667795261881,6.7979073953604665,0.00013560834419386428
1657080697.5208864,2766.6747398250427,6.809193310047332,0.00013631920772420525
1657081297.5311503,2766.6816843884358,6.817782184764958,0.00013685934314954526
1657081897.5414143,2766.688628951597,6.8252211551931925,0.00013732847494013094
1657082497.5516782,2766.6955735147567,6.8399927116435535,0.00013827400168740664
1657083097.561942,2766.7025180779174,6.855970596864125,0.0001393009074813562
1657083697.572206,2766.709462641312,6.8705211207659325,0.00014024061272219972
1657084297.58247,2766.7164072044734,6.8875679963382765,0.00014135340548344135
1657084897.5927339,2766.723351767633,6.911284465942204,0.00014291275207213347
1657085497.6029978,2766.7302963310267,6.938776591798529,0.00014474984569728288
1657086097.6132617,2766.73724089442,6.967541912201844,0.00014668607593687626
1657086697.6235256,2766.744185457582,7.003434689642315,0.00014914853528570009
1657087297.6338296,2766.7511300209744,7.04958161375067,0.0001523692048879323
1657087897.6440535,2766.758074584135,7.098431056204914,0.0001558565480246269
1657088497.6543574,2766.7650191475286,7.146276306493329,0.0001593608995987013
1657089097.6646214,2766.771963710922,7.194690451007146,0.00016297694309731688
1657089697.6748853,2766.778908274316,7.250556276677365,0.00016725739270385007
1657090297.6851895,2766.785852837709,7.314613788511808,0.00017229682433536698
1657090897.6954534,2766.7927974011027,7.38677752432916,0.00017817300434299867
1657091497.7057173,2766.799741964496,7.462393560245191,0.00018454080562757414
1657092097.7160215,2766.8066865278897,7.538893790047352,0.0001912279323162638
1657092697.7262855,2766.8136310912832,7.616938610041036,0.00019830476837174931
1657093297.7365494,2766.8205756546777,7.706578834640926,0.00020675664473389108
1657093897.7468536,2766.8275202180703,7.809507830408389,0.00021690820434819294
1657094497.7571175,2766.834464781464,7.913648790811656,0.0002276978425651664
1657095097.7673814,2766.841409344858,8.01127351738334,0.00023834044918863697
1657095697.7776856,2766.848353908485,8.098103674585628,0.00024821320871394994
1657096297.7879896,2766.8552984718785,8.169009230400798,0.0002566079765091836
1657096897.7982535,2766.862243035272,8.220084440265826,0.00026282216456967805
1657097497.8085577,2766.869187598899,8.244195163527998,0.000265803193569376
1657098097.8188217,2766.8761321622915,8.24921123924621,0.0002664267749315537
1657098697.829126,2766.883076725918,8.250510669256915,0.0002666175247525215
1657099297.8393898,2766.890021289312,8.250998143397027,0.0002666474038572228
1657099897.8496938,2766.8969658529377,8.25122481542448,0.00026670000201059333
1657100497.859998,2766.903910416564,8.250661011966034,0.0002666095556263068
1657101097.870262,2766.910854979958,8.248991689854982,0.0002664167074514049
1657101697.8805661,2766.917799543585,8.243208341771139,0.00026567931103651474
1657102297.8908703,2766.9247441072102,8.23028707907122,0.0002641066101344709
1657102897.9011343,2766.9316886706047,8.206173907405057,0.00026111603376746
1657103497.9114385,2766.93863323423,8.173666933313111,0.00025715250940497753
1657104097.9217424,2766.9455777978565,8.123785993530992,0.0002512211783838307
1657104697.9320467,2766.952522361484,8.05267513411568,0.00024299395462164868
1657105297.9423106,2766.959466925109,7.968686902582547,0.0002336457310747603
1657105897.9526148,2766.9664114887355,7.877042701152405,0.00022384489326343084
1657106497.9629188,2766.9733560523628,7.78176728843396,0.00021412508718717384
1657107097.973223,2766.980300615989,7.689060422010174,0.00020505855708649956
1657107697.9835272,2766.9872451796155,7.600877085249776,0.00019681355521484876
1657108297.9938314,2766.994189743241,7.517731244019925,0.00018936547364554324
1657108898.0040953,2767.001134306868,7.43828890257061,0.000182480867120033
1657109498.0143995,2767.0080788704945,7.366230647949598,0.00017647608184266736
1657110098.0247438,2767.0150234343528,7.301145679416889,0.0001712296453670742
1657110698.0350077,2767.02196799798,7.242751632857466,0.00016664344391797848
1657111298.045312,2767.0289125616064,7.187963543800164,0.00016246554647408504
1657111898.055616,2767.0358571252327,7.136934045915064,0.00015866141718058705
1657112498.06592,2767.042801689092,7.092318556094835,0.00015541437695927056
1657113098.0762243,2767.0497462527183,7.053768275015951,0.00015266179024718364
1657113698.0865285,2767.0566908163446,7.020536789250407,0.00015032992063116217
1657114298.0968328,2767.0636353802047,6.989327867340888,0.00014817013082023153
1657114898.1071367,2767.07057994383,6.959686601138811,0.0001461509851422817
1657115498.1174812,2767.0775245076893,6.93367184304182,0.00014439826928726922
1657116098.1277452,2767.084469071316,6.9113082612586485,0.00014291448306295984
1657116698.1380894,2767.091413635176,6.892094830742975,0.00014164853606509037
1657117298.1483936,2767.098358198801,6.8785426481288034,0.00014075988827153823
1657117898.1586978,2767.1053027626604,6.868810559797746,0.0001401288814071273
1657118498.169002,2767.11224732652,6.862078005408884,0.00013969727019609023
1657119098.179306,2767.119191890147,6.858585460319729,0.00013946607723185964
1657119698.1896102,2767.126136454004,6.858631030291429,0.00013947135012339087
1657120298.1999545,2767.133081017864,6.861365252420704,0.000139646122629797
1657120898.2102587,2767.1400255814915,6.8634992883603,0.0001397831771164378
1657121498.220563,2767.1469701453498,6.862205329392053,0.0001396987574008495x
